Faixa Etária,Faixa Hora Contrat,Faixa Tempo Emprego,Escolaridade após 2005,Ind Portador Defic,Raça Cor,Vl Remun Dezembro Nom,Sexo Trabalhador,Tamanho Estabelecimento,Diretor TI,Gerente Infraestrutura TI,Gerente Desenvolvimento Sistemas,Gerente Operação TI,Gerente Projetos TI,Gerente Segurança Informação,Gerente Suporte Técnico TI,Tecnólogo Gestão TI,Engenheiro Aplicativos Computação,Engenheiro Equip Computação,Engenheiro Sist Oper Computação,Administrador Banco Dados,Administrador Redes,Administrador Sist Operacionais,Administrador Segur Informação,Analista Desenvolv Sistemas,Analista Redes Comunic Dados,Analista Sistemas Automação,Analista Suporte Computacional
4,5,4,6,0,1,3742.54,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,4,6,0,1,1844.88,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,5,6,6,0,1,2373.34,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,4,3,6,0,1,2113.09,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,5,6,0,1,1929.96,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,5,3,6,0,0,2096.72,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,1,6,0,1,3157.68,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,5,6,0,1,3848.88,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,5,6,0,1,2575.29,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,0,6,0,1,2574.98,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,4,3,6,0,1,1556.2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,5,6,0,0,3211.38,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,5,6,0,1,2531.85,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,4,5,6,0,1,3706.61,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,4,3,6,0,1,7511.68,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,4,5,6,0,1,2647.58,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,5,2,6,0,1,4042.04,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,5,6,0,1,3195.37,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,6,6,0,1,2824.88,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,4,6,0,1,1813.46,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,4,6,0,1,1778.58,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,5,3,6,0,1,2450.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,3,6,0,1,1404.28,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,3,6,0,1,1338.48,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,6,6,0,1,4753.19,1,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,3,6,0,1,1333.15,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,3,6,0,1,1571.98,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,5,1,6,0,1,2528.01,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,6,6,0,1,2865.98,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,5,3,6,0,0,1338.48,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,6,6,0,1,6537.6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,4,6,0,1,1278.33,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,5,7,6,0,1,12044.78,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5,5,6,0,1,5192.05,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,5,6,6,0,1,1300.0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,3,6,0,1,1294.34,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,6,6,0,1,1570.61,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,5,5,6,0,1,2253.23,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,2,6,0,1,1294.34,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,5,6,0,1,2341.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,5,0,6,0,1,1432.65,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,4,6,0,1,1335.02,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,5,3,6,0,1,1302.0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,5,4,6,0,1,4636.19,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
